priority,data_folder,sub_folder,file_name,variable_name,unit,description
High,AutosamplerTest,CarbonateChemistry,pHProbe_Data.csv,CowTagID,,
High,21-Aug,CarbonateChemistry,pHProbe_Data.csv,SeepCode,,
High,21-Aug,CarbonateChemistry,pHProbe_Data.csv,Tide,,
High,21-Aug,CarbonateChemistry,pHProbe_Data.csv,Day_Night,,
High,21-Aug,CarbonateChemistry,pHProbe_Data.csv,Date,,
High,21-Aug,CarbonateChemistry,pHProbe_Data.csv,Salinity_In_Lab,psu,salinity of water samples recorded at GUMP in Mo'orea
High,21-Aug,CarbonateChemistry,pHProbe_Data.csv,SamplingTime,,
High,21-Aug,CarbonateChemistry,pHProbe_Data.csv,TempInLab,C,temperature of water samples recorded at CSUN
High,21-Aug,CarbonateChemistry,pHProbe_Data.csv,mV,mV,mV of water samples recorded at GUMP in Mo'orea
High,21-Aug,CarbonateChemistry,salinity_tetiaroa_2021_10_01,Salinity,psu,
,21-Aug,CarbonateChemistry,pHProbe_Data.csv,Salinity,,
,21-Aug,CarbonateChemistry,pHProbe_Data.csv,TempInSitu,,
,21-Aug,CarbonateChemistry,pHProbe_Data.csv,TA,,
,21-Aug,CarbonateChemistry,pHProbe_Data.csv,TrisCalDate,,
,21-Aug,CarbonateChemistry,pHProbe_Data.csv,No_Junk_Run,,
,21-Aug,CarbonateChemistry,pHProbe_Data.csv,Salinity_Calibration_Date,,
,21-Aug,CarbonateChemistry,TrisCalibrationLog.csv,TrisCalDate,,
,21-Aug,CarbonateChemistry,TrisCalibrationLog.csv,Ttris,,
,21-Aug,CarbonateChemistry,TrisCalibrationLog.csv,mVTris,,
,21-Aug,CarbonateChemistry,TrisCalibrationLog.csv,HOBO_Orion,,
,21-Aug,CarbonateChemistry,salinity_tetiaroa_2021_10_01,Site,,
,21-Aug,CarbonateChemistry,salinity_tetiaroa_2021_10_01,Control_Seep,,
,21-Aug,CarbonateChemistry,salinity_tetiaroa_2021_10_01,Seep_Code,,
,21-Aug,CarbonateChemistry,salinity_tetiaroa_2021_10_01,Date,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
