date,TempInSitu,Lux,Light_Serial
2023-02-27T12:00:00Z,30.67,31754.24,LUX_837
2023-02-27T12:02:00Z,30.67,29040.64,LUX_837
2023-02-27T12:04:00Z,30.63,28190.72,LUX_837
2023-02-27T12:06:00Z,30.63,31989.76,LUX_837
2023-02-27T12:08:00Z,30.76,32051.2,LUX_837
2023-02-27T12:10:00Z,30.71,32573.44,LUX_837
2023-02-27T12:12:00Z,30.71,35389.44,LUX_837
2023-02-27T12:14:00Z,30.71,34785.28,LUX_837
2023-02-27T12:16:00Z,30.71,32122.88,LUX_837
2023-02-27T12:18:00Z,30.71,31242.24,LUX_837
2023-02-27T12:20:00Z,30.67,32286.72,LUX_837
2023-02-27T12:22:00Z,30.71,32204.8,LUX_837
2023-02-27T12:24:00Z,30.8,36034.56,LUX_837
2023-02-27T12:26:00Z,30.89,33484.8,LUX_837
2023-02-27T12:28:00Z,30.76,27095.04,LUX_837
2023-02-27T12:30:00Z,30.8,32901.12,LUX_837
2023-02-27T12:32:00Z,30.8,33648.64,LUX_837
2023-02-27T12:34:00Z,30.84,41943.04,LUX_837
2023-02-27T12:36:00Z,30.93,42373.12,LUX_837
2023-02-27T12:38:00Z,30.93,42434.56,LUX_837
2023-02-27T12:40:00Z,30.97,42024.96,LUX_837
2023-02-27T12:42:00Z,31.01,42086.4,LUX_837
2023-02-27T12:44:00Z,30.97,38123.52,LUX_837
2023-02-27T12:46:00Z,30.93,41707.52,LUX_837
2023-02-27T12:48:00Z,30.97,34191.36,LUX_837
2023-02-27T12:50:00Z,30.89,35502.08,LUX_837
2023-02-27T12:52:00Z,30.8,28651.52,LUX_837
2023-02-27T12:54:00Z,30.8,26828.8,LUX_837
2023-02-27T12:56:00Z,30.76,29777.92,LUX_837
2023-02-27T12:58:00Z,30.67,28375.04,LUX_837
2023-02-27T13:00:00Z,30.67,24279.04,LUX_837
2023-02-27T13:02:00Z,30.59,23951.36,LUX_837
2023-02-27T13:04:00Z,30.67,28231.68,LUX_837
2023-02-27T13:06:00Z,30.76,32266.24,LUX_837
2023-02-27T13:08:00Z,30.84,37601.28,LUX_837
2023-02-27T13:10:00Z,30.89,36423.68,LUX_837
2023-02-27T13:12:00Z,30.93,36085.76,LUX_837
2023-02-27T13:14:00Z,30.97,36997.12,LUX_837
2023-02-27T13:16:00Z,30.97,37632,LUX_837
2023-02-27T13:18:00Z,30.97,42741.76,LUX_837
2023-02-27T13:20:00Z,31.01,37857.28,LUX_837
